위치ID,위치명,X좌표,Y좌표,지역코드,여행목적,여행일수,평점
POI010000006GHZOM,신촌아트레온,,,11410,6;9;11,2.0,5.0
POI010000006GFN9T,홍지문터널관리사무소,126.9578444,37.58489976,11110,5;7;28,2.0,4.0
POI010000006N040T,장안장모텔,,,41115,3;12;11,1.0,3.6666666666666665
POI010000006W3YGF,항파두리항몽유적지,126.4079226,33.45274787,11560,1;6;27,1.0,5.0
POI01000000ALQSQZ,롤링힐스호텔,126.8387513,37.19017639,41590,13;23;27,2.0,4.0
POI01000000BYAEVO,영등포역파출소,,,11560,22;26;21,1.0,5.0
POI01000000BXWFZE,주공아파트,,,41290,4;24;21,2.0,4.0
POI01000000AM8QPF,곤지암화담숲,127.2891655,37.34138706,41610,,,3.3333333333333335
POI01000000B26Z0E,능내역,,,41360,22;26;3,1.0,5.0
POI01000000B22WCJ,석촌호수,127.1058999,37.51162124,41115,9;22;6,1.0,4.0
POI010000006KMCL5,코엑스(무역센터),127.0588278,37.51266138,11680,10;11;6,3.0,4.0
POI010000006NH93I,강변막국수,,,41670,8;28;3,2.0,4.0
POI010000006JOOYV,하림빌딩,,,41310,2;27;3,3.0,4.666666666666667
POI01000000BYBJ32,계성여자고등학교,,,11140,,,4.0
POI01000000C4700J,SJ하우스,126.5066159,36.32058712,41173,,,4.333333333333333
POI01000000BZBV9L,경주월드,129.282066,35.83625257,28260,3;2;6,1.0,4.0
POI01000000BFYOQY,무지개펜션,,,41650,1;12;8,1.0,5.0
POI01000000B1LJU6,수파산총각당,126.9908642,37.67041237,11305,27;22;26,1.0,5.0
POI0100000073F8YR,경주하일라콘도미니엄,129.2683951,35.86073309,11200,2;21;6,1.0,4.333333333333333
POI010000006HPJF6,스위트리빙텔,,,11560,21;13;4,3.0,3.3333333333333335
POI01000000BFVNRV,대우프라자,,,41570,22;24;23,2.0,4.0
POI01000000C6EUDZ,신영빌라,,,11110,6;21;22,1.0,4.666666666666667
POI010000006GG7MR,경복궁태원전,126.9768967,37.57760878,41190,1;7;3,1.0,5.0
POI01000000BXRWZQ,설악산국립공원,128.4384828,38.21491811,11470,5;22;21,1.0,5.0
POI010000006JS6WF,로데오몰,,,41360,1;22;21,1.0,4.0
POI01000000B1XX57,롯데캐슬골드프라자,128.4282006,36.0194201,11710,1;6;22,1.0,3.0
POI01000000ALX4ZR,삼부리치안,,,41117,,,3.6666666666666665
POI01000000ALBTE9,점보빌리지,126.3051056,33.27627648,41480,,,4.0
POI010000006N4IBM,센타빌딩,127.0155146,37.27460147,41115,3;10;13,2.0,3.3333333333333335
POI0100000072PBNS,전주덕진공원관리사무소,127.1210246,35.84748755,41115,26;22;3,1.0,4.0
POI010000006LN5DS,대학빌딩,,,11110,6;1;4,2.0,4.666666666666667
POI01000000B6FU5R,에버랜드스피드웨이,,,41461,2;9;22,1.0,3.888888888888889
POI010000006GKFAR,남산케이블카정류장,,,11140,2;9;4,5.0,3.0
POI010000006KF528,애플성형외과의원,126.9858654,35.32477981,11680,,,3.6666666666666665
POI010000006NH3HQ,중앙치과의원,,,41670,3;6;4,1.0,5.0
POI01000000DQIHSQ,태화강역,129.3534992,35.53881719,31140,,,5.0
POI010000006CUVLO,대호빌딩,,,41650,2;9;21,2.0,3.0
POI01000000BG1PXA,유명산자연휴양림,127.4911364,37.5926393,41820,,,5.0
POI010000006GGRXM,영재스카이학원,,,11110,,,5.0
POI01000000B21IH9,뷰티빌딩,126.492769,33.50707896,11680,7;4;1,1.0,4.0
POI01000000B1KE39,한강시민공원여의도지구,126.9351293,37.5263886,11560,1;4;2,1.0,4.0
POI01000000BUTXKB,평택역,127.0852911,36.99098236,11200,,,3.3333333333333335
POI01000000B61QIM,경기도청소년수련원바다관,126.6415692,37.2155263,41273,8;22;21,2.0,5.0
POI01000000BYGC30,현대하이엘,,,11215,,,4.333333333333333
POI01000000BGENL9,조치원역,127.2961734,36.60109729,36110,3;4;7,2.0,3.3333333333333335
POI01000000AM0SH1,화랑활터,127.0239886,37.4295232,11620,8;27;6,2.0,5.0
POI01000000BGGJ4Q,미리내캠프,,,41830,5;11;12,1.0,4.0
POI01000000B1NNVD,LFSQUARE,127.0524968,37.8311668,41630,22;23;1,2.0,5.0
POI010000006MWHVW,신봉어린이공원,127.0723148,37.3291075,41465,,,5.0
POI01000000B5ORSJ,배곧아브뉴프랑센트럴그린,,,41390,4;1;9,2.0,3.6666666666666665
POI01000000BG1JV2,오가네,,,41820,6;9;12,2.0,4.0
POI01000000EBPZKT,통도사(경상남도기념물제289호),129.0646834,35.48828455,28237,1;6;11,1.0,3.6666666666666665
POI010000006KYLSX,연세피아노음악원,,,11710,4;1;26,1.0,3.6666666666666665
POI010000006GEYF9,쌈지길,,,11110,6;4;21,2.0,3.3333333333333335
