위치ID,위치명,X좌표,Y좌표,지역코드,여행목적,여행일수,평점
POI01000000BXSG1D,천주교대안리공소,,,42130,3;13;25,1.0,5.0
POI01000000BWOZ3T,SK에너지청도주유소(부산방향),128.7669634,35.59539599,47820,2;12;22,1.0,2.6666666666666665
POI01000000BYVA9J,수암시장,129.3208315,35.52776206,48123,9;25;2,1.0,5.0
POI010000006B5VBO,구방1리경로당및마을회관,,,42730,9;11;24,1.0,4.333333333333333
POI01000000BZIHAF,황룡강생태공원,126.7770423,35.30500891,42170,,,4.0
POI01000000BT11DF,제비원식당,128.0761006,35.06757444,27170,9;22;6,1.0,4.666666666666667
POI01000000BXTLZH,한우체험장,,,42730,2;11;24,1.0,1.6666666666666667
POI010000006TG5L1,칠성횟집,,,26500,22;23;3,2.0,5.0
POI0100000076SJ9T,더스퀘어,,,48330,1;24;22,1.0,4.0
POI010000006A885X,필마트,,,47210,3;21;9,2.0,3.3333333333333335
POI01000000BT07Y5,지산목련시장,,,27260,,,5.0
POI010000006DG6TU,구룡사사천왕문,128.049756,37.40045473,42130,28;3;4,1.0,3.3333333333333335
POI01000000C9B01T,강동원룸,129.062793,35.15839149,26230,1;4;22,2.0,3.3333333333333335
POI01000000BXOOQ6,신세계센텀시티주차장,,,26350,22;1;6,2.0,3.0
POI0100000076AODK,농협하나로클럽부산점NH농협은행부산하나로클럽출장소,129.0111456,35.250045,26320,2;6;22,3.0,3.3333333333333335
POI01000000BXT0UR,치악산국립공원,128.055647,37.36512518,42130,28;3;4,1.0,5.0
POI01000000C3C36W,삼성홈프레스티지I,,,42210,3;6;28,2.0,4.0
POI010000006PEIUH,명품고시텔,127.4273966,36.32708986,41820,,,3.6666666666666665
POI01000000B3572O,한라수목원,126.4932661,33.46978393,31140,22;6;1,2.0,5.0
POI01000000B8AQP4,거북이숯불갈비식당,128.6286371,36.8213224,47760,,,4.0
POI010000006VS8UR,성산포항종합여객터미널,,,26200,27;22;4,1.0,4.333333333333333
POI01000000B5C9SP,남이섬관광휴양지,,,42110,22;21;1,1.0,4.333333333333333
POI0100000069XWGK,아천교송어장,,,47280,6;9;11,1.0,5.0
POI01000000E9LWII,서울역버스환승센터,126.9706069,37.55467884,11140,28;3;4,1.0,5.0
POI01000000BVJW5M,바람주차장,,,42770,,,5.0
POI01000000BZD5QE,우방타운,128.3482591,36.12118384,47190,2;6;28,3.0,5.0
POI010000006BC9XV,죽도해수욕장공중화장실,128.7597284,37.975033,42830,25;3;22,3.0,4.166666666666667
POI01000000AKNW3C,순천만생태공원,127.509555,34.88561199,48250,3;2;12,2.0,4.666666666666666
POI0100000078H901,매암차문화박물관,,,48850,3;6;13,2.0,2.6666666666666665
POI010000006BCUWF,녹원야식,128.5464338,38.2905033,42820,,,5.0
POI010000006SA94H,겔럭시호텔,,,11530,27;6;1,2.0,5.0
POI01000000C1E984,에비앙하우스,,,48270,,,4.0
POI0100000077XPHD,아리랑호텔A동,128.1089551,36.7285568,11680,,,3.3333333333333335
POI010000006WYNCV,거창버스터미널,,,48880,11;1;24,1.0,3.0
POI01000000777WER,BROWN-DOT호텔,126.8215359,33.47768586,48170,9;3;4,2.0,5.0
POI010000006TOSMX,한화리조트,,,26350,,,3.3333333333333335
POI010000006D3OEK,테마파크모텔,127.9520851,37.34866366,42830,24;22;23,1.0,4.0
POI0100000073IP9M,경주장,,,47130,2;3;7,2.0,3.0
POI010000006TZFAJ,동원상가,,,26410,1;21;22,1.0,5.0
POI01000000B5ATQ5,춘천고속터미널,127.7186239,37.86318497,47130,1;2;21,1.0,5.0
POI010000006BPVIF,119예산소방서나박소전담의용소방대,126.620395,36.65726446,47750,28;21;22,1.0,4.0
POI0100000075URTM,강릉하키센터,128.9012628,37.7763744,42150,26;23;22,2.0,3.0
POI01000000BXSA6C,속초시립박물관,128.5395484,38.2005142,42210,1;3;27,3.0,4.666666666666667
POI010000006TCKPG,원재프라자,129.1778873,35.1685823,26170,22;2;10,4.0,3.6666666666666665
POI01000000B54O15,웰리힐리파크,,,42730,2;23;11,2.0,3.3333333333333335
