TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
g_g012174,G02,g012174,28;4,2023-09-09,2023-09-10,,전라권 방문/호남권 거주/40세 이상/자녀동반/일반미션,28;4,22;28;26
g_g012175,G05,g012175,2;22;24;3;4,2023-09-09,2023-09-10,,충청권 방문/충청권 외 거주/40세 이상/커플/일반미션,2;22;24;3;4,3;4;24
g_g012176,G04,g012176,2;24;4;6,2023-09-17,2023-09-18,,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,2;24;4;6,1;2;6
g_g012177,G04,g012177,6;9;1,2023-09-09,2023-09-10,,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,6;9;1,9;1;4
g_g012179,G02,g012179,12;13;26;28;3,2023-09-10,2023-09-11,,전북 방문/거주지 구분 없음/40세 이상/특별미션,12;13;26;28;3,3;13;21
g_g012181,G02,g012181,3;4;6,2023-09-09,2023-09-10,,전라권 방문/호남권 거주/39세 이하/자녀동반/일반미션,3;4;6,6;9;24
g_g012182,G03,g012182,2;22;3;9,2023-09-12,2023-09-13,,전라권 방문/호남권 거주/39세 이하/커플/일반미션,2;22;3;9,1;3;24
g_g012183,G04,g012183,1;22;26,2023-09-07,2023-09-08,,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,1;22;26,1;26;6
g_g012185,G04,g012185,3;4;6,2023-09-18,2023-09-19,,충청권 방문/충청권 외 거주/40세 이상/부부/일반미션,3;4;6,4;13;1
g_g012186,G06,g012186,10;2;21;3,2023-09-17,2023-09-18,,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,10;2;21;3,1;3;13
g_g012188,G01,g012188,2;26;4;6,2023-09-09,2023-09-10,,전라권 방문/호남권 거주/40세 이상/자녀동반/일반미션,2;26;4;6,2;6;26
g_g012189,G04,g012189,2;22;26;6,2023-09-17,2023-09-18,,충청권 방문/충청권 거주/39세 이하/커플/일반미션,2;22;26;6,1;6;4
g_g012190,G06,g012190,2;4,2023-09-17,2023-09-18,,충청권 방문/충청권 거주/39세 이하/자녀동반/일반미션,2;4,3;11;26
g_g012192,G02,g012192,2;22;26,2023-09-16,2023-09-17,,전북 방문/거주지 구분 없음/39세 이하/특별미션,2;22;26,22;24;26
