VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2208210001,b_b000725,7,마곡수명산파크5단지아파트,2022-08-21,2022-08-22,서울 강서구 수명로2길 105,서울 강서구 내발산동 749,126.826904,37.55140213,,,POI01000000C1F7GB,마곡수명산파크5단지아파트/512동,360,22,,,,,,,
2210160002,b_b004987,15,라발스스카이카페&바,2022-10-16,2022-10-16,부산 영도구 봉래나루로 82,부산 영도구 봉래동1가 29,129.0391345,35.09450268,,,POI01000000AMVFXZ,라발스호텔,60,11,N,2,,4,4,4,
2210290001,b_b008294,1,집,2022-10-29,2022-10-29,,,,,,4729025024,,,,21,,,,,,,47290
2210020001,b_b006333,1,집,2022-10-02,2022-10-02,,,,,,4719025628,POI01000000C2JZZR,중흥S클래스에코시티아파트/1021,,21,,,,,,,
2208270002,b_b003092,4,롯데워터파크,2022-08-27,2022-08-27,경남 김해시 장유로 555,경남 김해시 신문동 1417,128.8293051,35.18087756,,,,,510,6,N,1,,4,4,4,
2210230003,b_b010294,2,진주성,2022-10-23,2022-10-23,경남 진주시 남강로 626,경남 진주시 본성동 415,128.0799814,35.18955476,,,POI01000000BYPCMS,의기사,210,8,N,1,,5,5,5,
2208220006,b_b000949,17,집,2022-08-22,2022-08-23,,,,,,,,,240,21,,,,,,,11740
2210220006,b_b009821,2,창원컨벤션센터,2022-10-22,2022-10-22,경남 창원시 성산구 원이대로 362,경남 창원시 성산구 대원동 123,128.6568936,35.23832706,,,POI01000000AZMHOW,창원컨벤션센터,90,4,Y,1,,4,5,5,
2208240008,b_b001996,24,강릉시공항길30번길21,2022-08-24,2022-08-25,공항길30번길21,강원도 강릉시 병산동,128.9393066,37.7608142,,,,,240,24,N,2,7,5,5,5,42150
2209260003,b_b004619,8,호미곶,2022-09-26,2022-09-26,,경북 포항시 남구 호미곶면 대보리,129.5697369,36.07805617,,,,,60,1,Y,1,,5,5,5,
2210060006,b_b006572,6,첨성대,2022-10-06,2022-10-06,,경북 경주시 인왕동 910-30,129.2190202,35.83471805,,,,,30,2,Y,1,,5,5,5,
2210230003,b_b010135,15,탑텐 포항해도점,2022-10-23,2022-10-23,경북 포항시 남구 해동로 134,경북 포항시 남구 해도동 540,129.3720396,36.03125039,,,,,60,4,N,1,,5,5,5,
2210290007,b_b011155,6,황소고집 본점,2022-10-29,2022-10-29,경기 용인시 처인구 모현읍 능원로 74,경기 용인시 처인구 모현읍 능원리 327-1,127.1722641,37.33296154,,,,,60,11,Y,11,,5,5,5,
2211060009,b_b016514,9,집,2022-11-06,2022-11-07,,,,,,,POI01000000C1T2Z3,"통영죽림푸르지오1차아파트,101동",30,21,,,,,,,48220
2210020003,b_b004017,23,부산역 부산1호선,2022-10-02,2022-10-02,부산 동구 중앙대로 지하 200,부산 동구 초량동 1206-1,129.0393443,35.11454124,,,,,0,9,Y,11,,4,4,4,
2211100001,b_b018654,1,집,2022-11-10,2022-11-10,,,,,,,,,,21,,,,,,,31710
2209200005,b_b004489,5,동궁과월지,2022-09-20,2022-09-20,경북 경주시 원화로 102,경북 경주시 인왕동 506-1,129.2269755,35.83477626,,,POI01000000BZB8WL,경주동궁과월지,30,2,N,1,,5,5,5,
2209240007,b_b004046,7,주문진언니대게,2022-09-24,2022-09-24,강원 강릉시 주문진읍 시장2길 4,강원 강릉시 주문진읍 주문리 312-424,128.8280054,37.8909709,,,,,30,11,N,9,,1,1,1,
2210270005,b_b007700,5,카페마르쉐,2022-10-27,2022-10-27,경북 경주시 첨성로81번길 22-7,경북 경주시 황남동 229-15,129.2118959,35.83509813,,,,,60,11,N,2,,4,3,4,
2208260005,b_b001073,12,정동진해변,2022-08-26,2022-08-26,,강원 강릉시 강동면 정동진리 64-3,129.0362597,37.68916598,,,,,0,7,N,9,,4,3,3,
2210010002,b_b004710,2,남이섬,2022-10-01,2022-10-01,강원 춘천시 남산면 남이섬길 1,강원 춘천시 남산면 방하리 197,127.5252101,37.79144075,,,POI01000000B5C9SP,남이섬관광휴양지,210,1,Y,1,,5,4,4,
