TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
f_f003647,H02,f003647,22;27;28,2023-06-23,2023-06-24,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;27;28,1;22;28
f_f003705,H02,f003705,22,2023-07-02,2023-07-03,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",22,22;3;26
f_f003858,H02,f003858,1;22;26;4;9,2023-07-02,2023-07-03,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;22;26;4;9,1;9;6
f_f003899,H02,f003899,1;22;3,2023-07-08,2023-07-09,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;22;3,22;3;1
f_f003918,H02,f003918,12;22;28;9,2023-07-15,2023-07-17,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",12;22;28;9,22;1;26
f_f003965,H02,f003965,12;22;26,2023-07-08,2023-07-10,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",12;22;26,6;12;22
f_f004009,H02,f004009,22;24;5,2023-07-09,2023-07-11,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",22;24;5,5;22;24
f_f004044,H02,f004044,1;22,2023-07-08,2023-07-10,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;22,22;1;6
f_f004148,F06,f004148,2,2023-07-16,2023-07-17,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",2,2;24;1
f_f004172,H02,f004172,22;26;6,2023-07-30,2023-08-01,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",22;26;6,23;26;6
f_f004300,H02,f004300,23,2023-07-31,2023-08-02,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",23,23;2;11
f_f004382,H02,f004382,21;22;26,2023-07-15,2023-07-17,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;26,1;3;26
f_f004391,H02,f004391,21;22;4;5;6,2023-07-15,2023-07-17,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",21;22;4;5;6,6;22;26
f_f004425,F01,f004425,4;22;21;23;24;26,2023-07-16,2023-07-18,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",4;22;21;23;24;26,21;24;1
f_f004454,H02,f004454,22;6,2023-07-13,2023-07-15,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;6,22;6;1
f_f004460,F04,f004460,23;26;1,2023-07-15,2023-07-17,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",23;26;1,23;26;22
f_f004486,F04,f004486,22;24;26;5,2023-07-25,2023-07-27,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;24;26;5,22;26;5
f_f004503,H02,f004503,10;22;28;4;5,2023-08-03,2023-08-05,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",10;22;28;4;5,28;22;5
f_f004543,H02,f004543,21;22;3,2023-07-14,2023-07-16,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",21;22;3,3;6;22
f_f004563,H02,f004563,2;3;5;6;9,2023-07-31,2023-08-02,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",2;3;5;6;9,2;1;5
f_f004658,F06,f004658,1;21;6,2023-07-19,2023-07-21,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",1;21;6,21;1;6
f_f004668,F06,f004668,22;24;26;5,2023-07-22,2023-07-24,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;24;26;5,5;22;26
f_f004670,H02,f004670,1;2;21;22;4,2023-07-30,2023-08-01,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부모 동반/일반미션",1;2;21;22;4,5;23;26
f_f004700,F01,f004700,26;24;22;10,2023-07-28,2023-07-30,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",26;24;22;10,22;26;24
f_f004712,H02,f004712,27;28;3;5;6,2023-07-23,2023-07-25,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",27;28;3;5;6,5;22;6
f_f004728,F05,f004728,1;21;22;23;24,2023-07-26,2023-07-28,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",1;21;22;23;24,2;10;21
