TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
e_e007758,E03,e007758,4;6,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,4;6,11;6;22
e_e007759,E02,e007759,2;21;4,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2;21;4,2;21;22
e_e007760,E03,e007760,1;11,2023-08-31,2023-09-01,,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;11,1;22;26
e_e007761,E03,e007761,2;26;7;9,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2;26;7;9,2;7;9
e_e007764,E03,e007764,22;5,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 외 거주/40세 이상/3대 동반 여행/일반미션,22;5,3;1;22
e_e007765,E03,e007765,21;6,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,21;6,27;2;6
e_e007766,E03,e007766,22;24;4,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,22;24;4,1;21;22
e_e007767,E01,e007767,12;21;22;26;6,2023-08-19,2023-08-20,,서울 방문/수도권 거주/39세 이하/부부/일반미션,12;21;22;26;6,21;12;1
e_e007768,E03,e007768,5;3,2023-08-27,2023-08-28,,서울 외 수도권 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션,5;3,21;22;5
e_e007770,E01,e007770,1;6,2023-08-28,2023-08-29,,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;6,1;3;6
e_e007772,E03,e007772,24;3,2023-08-22,2023-08-23,,서울 외 수도권 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션,24;3,11;21;2
e_e007773,E03,e007773,21;4,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,21;4,21;26;1
e_e007775,E01,e007775,4;11;1,2023-08-27,2023-08-28,,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,4;11;1,1;3;11
e_e007778,E01,e007778,2;4;6,2023-08-26,2023-08-27,,서울 방문/수도권 거주/39세 이하/커플/일반미션,2;4;6,4;1;2
e_e007779,E03,e007779,1;10;11;22,2023-08-30,2023-08-31,,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;10;11;22,1;11;21
e_e007781,E03,e007781,2;4;6,2023-08-20,2023-08-21,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;4;6,2;6;1
e_e007783,E03,e007783,2,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2,1;4;24
e_e007788,E03,e007788,10;21;22;4;5,2023-08-27,2023-08-28,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,10;21;22;4;5,10;2;1
e_e007789,E03,e007789,2;4,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/39세 이하/자녀동반/일반미션,2;4,2;11;6
e_e007791,E02,e007791,24;28;6,2023-08-26,2023-08-27,,인천 방문/거주지 구분 없음/39세 이하/특별미션,24;28;6,24;12;28
e_e007792,E02,e007792,3;6,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,3;6,3;24;9
e_e007793,E03,e007793,2;22;27;4,2023-08-19,2023-08-20,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2;22;27;4,26;24;27
